title,lyrics
1+1=2 Enamorados,"Quiero
Tú me miras y sé que te quiero
Y me enredo en tu pelo y te quiero
En tus manos, yo siento el calor de ti
De esta vida misma

Quiero
Cuánto te amo, yo sé que te quiero
Soy un fuego que llega hasta el cielo
Y te cubro y te siento
Y ya somos dos, dos enamorados

Somos dos, dos enamorados
De un amor dulce, libre y claro
Al soñar, vamos poco a poco
Encerrando el mundo entre las manos

Somos dos, dos enamorados
Que se dan todo con el alma
Viento y mar, furia desatada
Que al final se funden en un alma

Da, da, da, da
Da, da, da, da
Da, da, da, da

Quiero
Tú me miras y sé que te quiero
Y me enredo en tu pelo y te quiero
Y te cubro y te siento
Ya somos dos, dos enamorados

Somos dos, dos enamorados
De un amor dulce, libre y claro
Al soñar, vamos poco a poco
Encerrando el mundo entre las manos

Somos dos, dos enamorados
Que se dan todo con el alma
Viento y mar, furia desatada
Que al final se funden en un alma

Somos dos, dos enamorados
Que se dan todo con el alma
Viento y mar, furia desatada
Que al final se funden en un alma"
A Mis Años Ya Te Amo,"Como decir amor
Sin decir tu nombre
Y como ser feliz
Si no pienso en ti

Como callar tu voz
Si no es con un beso
Y susurrar amor
Cuanto yo te quiero

Comienzo a vivir
Si yo pienso en ti
No puedo reír
Si no estas aquí

Piensa, piensa que yo estoy
Que yo estoy enamorado
Y aunque digas que soy joven
Quiero estar entre tus brazos

Piensa, piensa que yo soy
Sólo un chico enamorado

El que vive para amar
Y que nunca olvidará
Que a mis años ya te amo    (bis)"
Abrazame,"Sé mi amor
Hazme un refugio en ti
Llena el vacío en mí
Me haces falta desde el día en que te ví
Conjúrate con mi pasión
Átame fuerte a tu corazón
No me dejes nunca
Aunque me hunda

Abrázame
Demuéstrame que eres real
Que por bien o mal, jamás te perderé
Oh oh abrázame
Afírmame que esta vez
Por fin llegó el amor

Llegué a creer
Que mi destino fue vivir así
En soledad
Solo amando sin amar, sin saber
Que al mirar tus ojos de mar
Ya nunca más yo sería igual
Te propongo la eternidad
Ámame siempre

Abrázame
Demuéstrame que eres real
Que por bien o mal, jamás te perderé
Oh oh abrázame
Afírmame que esta vez
Por fin llegó

El amor que yo soñé que tanto esperé
Te necesito abrázame

Oh oh abrázame
Afírmame que esta vez
Por fin llegó el amor"
Acapulco Amor,"Acapulco amor
Baila conmigo
Gozando del sol
Playa y amigos

Dame un beso
Y de tu dulzura
Me quedaré preso
Jugando en la arena
Jamás habrá pena
Corriendo en las olas
Nunca estarás sola
Aquí en Acapulco
Es todo gozar

Y cuando en la tarde
El sol ya no brille
Allá en la costera
Vamos a la disco
Que quiero bailar

Acapulco amor
Baila conmigo
Gozando del sol
Playa y amigos

Vamos juntos
Que allá nos espera
Limón y palmeras
Tomando tu coco

Me volverás loco
Basando tu pelo
Me voy en un vuelo
En paracaídas subiendo
Hasta el cielo

Cuando esté en mi nube
Te lloverá un beso
Volviendo contigo
Ya seremos dueños
Del cielo y el mar
Cuando, ya caiga la noche
Vamos hacia un mundo nuevo
Que yo te mostraré

Acapulco amor
Baila conmigo
Gozando del sol
Playa y amigos

Vamos juntos
Que allá nos espera
Limón y palmeras
Tomando tu coco
Me volverás loco

Besando tu pelo
Me voy en un vuelo
En paracaídas subiendo
Hasta el cielo

Cuando esté en mi nube
Te lloverá un beso
Volviendo contigo
Ya seremos dueños
Del cielo y el mar

Acapulco amor
Acapulco amor
Acapulco amor"
Adolescente Soñador,"Sha la la la la
Sha la la la la
Sha la la la la
Sha la la la la, la la la

Quiero aprender a amar
Y te busco enamorado
Sueño cada despertar
Encontrarte aquí a mi lado

Quiero aprender a amar
Esta es la primera vez
Se me clava su mirada
En mi corazón
Y yo creo que ha llegado
Para mi el amor

Ángel de mi vida
Adolescente, amada mía
Tierna sinfonía sin final
Ángel de mi vida
Cenicienta dulce y linda
Eres mi razón sentimental

Sha la la la la
Sha la la la la
Sha la la la la
Sha la la la la, la la la"
Agora Você Pode Ir,"Por que você não disse logo assim pra mim
Que já não me queria
Já não estava a fim
O jogo é outro
Não dá mais não
Você não me merece
Nem meu coração
E chega de fingir
Agora você pode ir

Se você soubesse
O que eu sofri por ti
Fingindo que não via
Coisas que eu vi
Agora me chamas
Pede perdão
Inventa mil desculpas
Diz que tem razão
E chega de fingir
Agora você pode ir

Por isso já não temos mais nada o que transar
Contigo eu só perdi
Agora eu quero ganhar

Por isso eu sei que ninguém mais vai dar
Aquilo que eu te dei
Ninguém vai te cuidar tão bem
Como eu cuidei

Por isso compreendo o teu papel
Você se arrependeu
Diz que cai do céu
Mas tudo tem seu fim
Você já não dá mais pra mim

Por isso já não temos mais nada o que transar
Contigo eu só perdi
Agora eu quero ganhar

Por isso eu sei que ninguém mais vai dar
Aquilo que eu te dei
Ninguém vai te cuidar tão bem
Como eu cuidei
Por isso compreendo o teu papel
Você se arrependeu
Diz que cai do céu
Mas tudo tem seu fim
Você já não dá mais pra mim

Mas tudo tem seu fim
Você já não dá mais pra mim"
Ahora Que Te Vas,"Ahora que te vas
Que no estarás conmigo
Recuerda en las mañanas abrigarte
Todo el tiempo de cuidarte
Que eres fácil de enfermar

No vivas cosas locas
Esas que en ti hacen estragos
Si sales a la calle
Te me cuidas de los vagos
Si un día vas al mar
Acuerdate de mí

Ahora que te vas
A tu pareja dile
Que estas acostumbrada a ver la luna
Y de flores no hay ninguna
Que no haya sido de ti

Ahora que te vas
Me dejas tu suspiro que es de mí
El alma que en tu beso yo te di
Te la puedes llevar
Que al fin y al cabo siempre fue de ti

Ahora que te vas
Me guardas una noche para mí
Llorándote en mi almohada pienso en ti
Ahora que te vas
Ahora que no estarás aquí

Ahora que te vas
Me dejas tu suspiro que es de mí
El alma que en un beso yo te di
Te la puedes llevar
Que al fin y al cabo siempre fue de ti

Ahora que te vas
Me guardas una noche para mí
Llorándote en mi almohada pienso en ti
Ahora que te vas
Ahora que no estarás aquí."
Ahora Te Puedes Marchar,"Si tú me hubieras dicho siempre la verdad
Si hubieras respondido cuando te llamé
Si hubieras amado cuando te amé
Serías en mis sueños la mejor mujer

Si no supiste amar
Ahora te puedes marchar

Si tú supieras lo que yo sufrí por ti
Teniendo que olvidarte sin saber por qué
Y ahora me llamas, me quieres ver
Me juras que has cambiado y piensas en volver

Si no supiste amar
Ahora te puedes marchar

Aléjate de mí
No hay nada más que hablar
Contigo yo perdí
Ya tengo con quien ganar

Ya sé que no hubo nadie que te diera lo que yo te di
Que nadie te ha cuidado como te cuidé
Por eso comprendo que estás aquí
Pero ha pasado tiempo y yo también cambié

Si no supiste amar
Ahora te puedes marchar

Aléjate de mí
No hay nada más que hablar
Contigo yo perdí
Ya tengo con quien ganar

Ya sé que no hubo nadie que te diera lo que yo te di
Que nadie te ha cuidado como te cuidé
Por eso comprendo que estás aquí
Pero ha pasado tiempo y yo también cambié

Si no supiste amar
Ahora te puedes marchar

Si no supiste amar
Ahora te puedes marchar"
Al Que Me Siga,"...Y ahora dile al que me siga
lo que me decías a mí;
que hasta que lo has encontrado
tú ni loca habrías pensado
que el amor sería así.

...Y ahora dile al que me siga
lo que me decías a mí;
que con él te has estrenado
porque todo lo pasado
fueron juegos de aprendiz.

Y nos hemos devorado
en cada lecho, en cada esquina
y cualquier lugar del mundo
hemos hecho maravillas.
Y en tu cuerpo y el mío
hasta quedan cicatrices.

...Y ahora dile al que me siga
que para ti yo no existí.

...Y ahora dile al que me siga
lo que me decías a mí;
que hasta que lo has conocido
no sabías que el paraíso
se pudiera hallar aquí.

...Y ahora dile al que me siga
lo que me decías a mí;
que con él te has estrenado
porque todo lo pasado
fueron juegos de aprendiz.

Y nos hemos devorado
en cada lecho, en cada esquina
y cualquier lugar del mundo
hemos hecho maravillas.
Y en tu cuerpo y el mío
hasta quedan cicatrices.

...Y ahora dile al que me siga
que para ti yo no existí.

Y nos hemos devorado
en cada lecho, en cada esquina
y cualquier lugar del mundo
hemos hecho maravillas.
Y en tu cuerpo y el mío
hasta quedan cicatrices.

...Y ahora dile al que me siga
que para ti yo no existí."
Alguien Como Tú,"Eres, fuego en mi piel
Leño que arde de desamor
Tienes el beso más fiel del planeta
Robándome el corazón
Que se muere de amor
(Yo me muero)

Por alguien como tú
Que me quiera
Alguien como tú
En mi hoguera
Alguien como tú
La que siempre he esperado yo
(Yo me muero)

Por alguien como tú
Compañera
Alguien como tú
Sin barreras
Alguien como tú
La que nunca dice adiós

Nada, tenía hasta ayer
Solo sombras en la pared
Nada tenía entre el cielo y la arena

Siento que todo cambió
Llega a mi mundo el amor
Creo que el viento sopló finalmente
Al fin estás aquí
Y estoy loco por ti
(Yo me muero)
Por alguien como tú
Que me quiera
Alguien como tú
En mi hoguera
Alguien como tú
La que siempre he esperado yo
(Yo me muero)

Por alguien como tú
Compañera
Alguien como tú
Sin barreras
Alguien como tú
La que nunca dice adiós

Alguien como tú
Que me quiera
Alguien como tú
En mi hoguera
Alguien como tú
La que siempre he esperado yo
(Yo me muero)
Por alguien como tú
Compañera
Alguien como tú
Sin barreras
Alguien como tú
La que nunca dice adiós

Alguien como tú
Que me quiera
Alguien como tú
En mi hoguera
Alguien como tú
La que siempre he esperado yo (Yo me muero)"
Amanecer,"Amanecer y ver tu rostro sonreír
Es un placer, un privilegio para mí
Buscar la luz en el fulgor de tu mirar
Es despertar con el amor

Mirar que el sol en tu cabello se anidó
Y la alborada en tu sonrisa se escondió
Ver que mi verso tiene un ritmo y un color
Es un placer

Amanecer con la importancia de saber
Que soy de ti, que pertenezco sólo a ti
Que nunca más mis sueños fríos sentirán
Es ya tener un porvenir

Amanecer
Y ver que tengo junto a mí
Lo que hace tanto, tanto tiempo pretendí
Es un placer, un privilegio para mí

Es un placer, un privilegio para mí"
Amanecí En Tus Brazos,"Amanecí otra vez, entre tus brazos
y desperté llorando, de alegría
me cobijé la cara, con tus manos
para seguirte amando, todavía.

Y despertaste tú, casi dormida
tú me querías decir, no sé qué cosa
pero callé tu boca con mis besos
y así pasaron muchas, muchas horas.

Cuando llegó la noche, y apareció la luna, y entró por tuventana
que cosa tan bonita, cuando la luz del cielo, iluminó tucara...

Yo me volví a meter, entre tus brazos
tu me querías decir no sé qué cosa
pero callé tu boca con mis besos
y así pasaron muchas, muchas horas"
Amante Del Amor,"Mi prisión, mi libertad
Mi obscuridad y mi lucero
Mezcla de brisa y tempestad
Así te quiero

Mi pasión, mi corazón
Lluvia de mayo, sol de invierno
Que me estás dando, que tendrás
Tal vez encanto, veneno

Amante del amor
Quisiera ser la enredadera
Que sube por tu piel de seda
Beberme tu pasión
Amarte entera
Amante del amor

Mi placer, mi dolor
Mi sensatez y mi locura
Lo has sido todo para mí
Amor violento, ternura

Amante del amor
Quisiera ser la enredadera
Que sube por tu piel de seda
Beberme tu pasión
Amarte entera
Amante del amor

A fuego lento yo te 
Quisiera amar

Amante del amor
Quiero quererte
Dulcemente
Y beso a beso hasta vencerte
Muy poco a poco
Profundamente
Amante del amor"
Amarte Es Un Placer,"El vino es mejor en tu boca
Te amo es más tierno en tu voz
La noche en tu cuerpo es más corta
Me estoy enfermando de amor

Quisiera caminar tu pelo
Quisiera ser noche en tu piel
Pensar que fue todo un sueño
Después descubrirte otra vez

Y amarte como yo lo haría
Como un hombre a una mujer
Tenerte como cosa mía
Y no podérmelo creer

Tan mía, mía, mía, mía
Que eres parte de mi piel
Conocerte fue mi suerte
Amarte es un placer, mujer

Quisiera beber de tu pecho
La miel del amanecer
Mis dedos buscando senderos
Llegar al final de tu ser

Bailar el vals de las olas
Cuerpo a cuerpo, tú y yo
Fundirme contigo en las sombras
Y hacerte un poema de amor

Y amarte como yo lo haría
Como un hombre a una mujer
Tenerte como cosa mía
Y no podérmelo creer

Tan mía, mía, mía, mía
Que eres parte de mi piel
Conocerte fue mi suerte
Amarte es un placer, mujer"
"América, América","Donde brilla el tibio sol
Con un nuevo fulgor
Dorando las arenas
Donde el aire es limpio aún
Bajo la suave luz de las estrellas
Donde el fuego se hace amor
El río es hablador y el monte es selva
Hoy encontré un lugar para los dos
En esta nueva tierra

América, América
Todo un inmenso jardín
Esto es América
Cuando Dios hizo el edén
Pensó en América

Cada nuevo atardecer
El cielo empieza a arder
Y escucha el viento
Que me trae con su canción
Una queja de amor, como un lamento
El perfume de una flor
El ritmo de un tambor
En las praderas
Vientos de libertad
Sueños de paz para una vida nueva

América

Fredom and dignity
These things we understand
And I can still believe
We can find our promised land
In a world of confusion
We've got to start trying
To build it together
In América

América"
Amor a Mares,"Te quiero cerca para mi noche fría
Te quiero cerca para mi ser vacío
Para morir contigo de muerte lenta
De darte tanta vida y amor divino
De darte tanta vida y amor divino

A plena luna y al son de la marea
A plena luna cubriéndonos el aire
De mí voy abrigarte si estas desnuda
Mientras que entre mis brazos tú te acurrucas
Mientras que entre mis brazos tú te acurrucas

Quiero estrenar contigo besos que guardo
Al rojo vivo
Besos de media noche
Besos del alba
Muertos de frío
Y por fin habitarte con luz de luna sobre la arena
Mientras que el oleaje tu cuerpo inunda sin darte cuenta

Te voy a dar sin tregua amor del bueno
Amor a mares

Mi travesía comenzará en tus labios
Mi travesía tocando irá tu cuerpo
Y seguirán mis besos a la deriva
Hasta que amaneciendo tu voz me diga
Quiero empezar de nuevo mi amor mi vida

Quiero estrenar contigo besos que guardo
Al rojo vivo
Besos de media noche
Besos del alba
Muertos de frío
Y por fin habitarte con luz de luna sobre la arena
Mientras que el oleaje tu cuerpo inunda sin darte cuenta

Te voy a dar sin tregua amor del bueno
Amor a mares
Te voy a dar sin tregua amor del bueno
Amor a mares
Te voy a dar sin tregua amor del bueno
Amor a mares"
Amor de Escuela,"En el balcón de la escuela
Nos quedamos por un rato
Y así hablamos a solas
Aquella linda mañana

Le dije que iba a besarla
Sonriendo bajo sus ojos
Y me ofrecio sus mejillas
Como quien pierde un tesoro

No se atrevía a mirarme y no me habló
Le dije que éramos novios, me entendió               
Y calló mi voz su beso
Me dejó en embeleso  
Y con muchisima pena me abrazó                  


Era grande la alegría de los dos
en nuestras almas había felicidad
Porque desde ese día
Fuimos dos que se querían
Y así supimos por fin que es el amor        (bis)

Y así supimos el fin que es el amor"
Amor de Hecho,"Porque prometer amor eterno y caer
En el error de casi todos
Sabiendo que el amor en pleno vuelo
Perdiendo altura va poquito a poco

Porque maniatar los sentimientos
Y obligar al corazón a darlo todo
Atando a unos labios unos besos
Que un día querrán estar bebiendo en otros

Cuando el desamor nos llega
De que sirven alianzas
Ni inyectando amor en vena
Se levanta el corazón

Cuando el desamor nos toca
Para que jaula de oro
Ni intentando el boca a boca
Se despierta el corazón

Mejor mil veces amor de hecho
Mejor mil veces que amor deshecho
Mejor mil veces amor de hecho
Mejor mil veces que amor deshecho

Porque maniatar los sentimientos
Y obligar al corazón a darlo todo
Atando a unos labios unos besos
Que un día querrán estar bebiendo en otros

Cuando el desamor nos llega
De que sirven alianzas
Ni inyectando amor en vena
Se levanta el corazón

Cuando el desamor nos toca
Para que jaula de oro
Ni intentando el boca a boca
Se despierta el corazón

Mejor mil veces amor de hecho
Mejor mil veces que amor deshecho
Mejor mil veces amor de hecho
Mejor mil veces que amor deshecho"
"Amor, Amor, Amor","Amor, amor, amor
Nació de ti, nació de mí
De la esperanza

Amor, amor, amor
Nació de Dios para los dos
Nació del alma

Sentir que tus besos se anidaron en mí
Igual que palomas mensajeras de luz
Saber que mis besos se quedaron en ti
Haciendo en tus labios la señal de la cruz

Ay, amor, amor, amor
Nació de ti, nació de mí
De la esperanza

Amor, amor, amor
Nació de Dios para los dos
Nació del alma

Sentir que tus besos se anidaron en mí
Igual que palomas mensajeras de luz
Saber que mis besos se quedaron en ti
Haciendo en tus labios la señal de la cruz

Amor, amor, amor
Nació de ti, nació de mí
De la esperanza

Amor, amor, amor
Nació de Dios para los dos
Nació del alma

Amor, amor, amor
Nació de ti, nació de mí
De la esperanza

Amor, amor, amor
Nació de Dios para los dos
Nació del alma"
